time,norm,mean_x,mean_y,mean_z,mean_r,kinetic_energy,potential_energy,total_energy,captured_probability,reflected_probability,transmitted_probability
1.53,0.8710989101078048,-22.16151100831294,1.2604075236303236e-14,1.3577623506207986e-14,22.470564597806753,0.30188530286026133,-0.040522799463202884,0.26136250339705847,1.8794681171184086e-07,0.6219314324304771,0.24916728973051583
1.54,0.8706359639641637,-22.15425883990239,1.2830075077625072e-14,1.367413999020476e-14,22.4631109691995,0.3017191362272039,-0.04049084800234273,0.2612282882248612,1.9142458698518242e-07,0.6222940118803272,0.2483417606592494
1.55,0.870173123101716,-22.14700400448732,1.2856806983726108e-14,1.376357170579159e-14,22.45565496816389,0.3015525106233575,-0.040458919969964376,0.2610935906533931,1.9492843342897207e-07,0.6226554313788512,0.24751749679443144
1.56,0.8697103669222931,-22.1397458714553,1.2906866242832839e-14,1.3808808217199566e-14,22.448195957577543,0.30138542087856485,-0.040427014584786716,0.26095840629377814,1.9845786726660059e-07,0.6230156673193499,0.24669450114507585
1.57,0.8692476752002517,-22.132483821326048,1.304818000727986e-14,1.4036565967987202e-14,22.44073331155908,0.3012178619615788,-0.040395131079752254,0.26082273088182656,2.0201239514773642e-07,0.6233746964315322,0.24587277675632438
1.58,0.8687850280754055,-22.125217245539474,1.308583176590822e-14,1.4019220199752687e-14,22.433266415254078,0.3010498289781161,-0.04036326870175785,0.2606865602763583,2.0559151431007048e-07,0.6237324957744593,0.24505232670943194
1.59,0.8683224060461439,-22.117945546249477,1.3172569387129525e-14,1.4113698055022923e-14,22.425794664626842,0.30088131716894034,-0.04033142671139275,0.2605498904575476,2.0919471274482437e-07,0.624089042729691,0.24423315412174001
1.6,0.8678597899627376,-22.110668136123437,1.320742580041311e-14,1.421944084517513e-14,22.418317466257843,0.3007123219079737,-0.040299604382683596,0.2604127175252901,2.1282146936585058e-07,0.624444314994629,0.24341526214663914
1.61,0.8673971610208223,-22.10338443814705,1.3425828019881042e-14,1.4366646291916082e-14,22.41083423714665,0.3005428387004364,-0.04026780100284615,0.26027503769759025,2.164712541823444e-07,0.6247982905760482,0.2425986539735201
1.62,0.8669345007550536,-22.096093885434378,1.3557003749838075e-14,1.4482817033711134e-14,22.403344404520112,0.3003728631810126,-0.04023601587204325,0.26013684730896935,2.2014352847509085e-07,0.6251509477838119,0.24178333282771322
1.6300000000000001,0.8664717910329268,-22.08879592104297,1.3777240912962514e-14,1.453738005737965e-14,22.395847405645625,0.30020239111204283,-0.0402042483031494,0.25999814280889344,2.2383774497609188e-07,0.6255022652247649,0.24096930197041694
1.6400000000000001,0.8660090140487603,-22.081489997793796,1.3876612429161052e-14,1.4736016862909297e-14,22.38834268764929,0.30003141838174224,-0.040172497621520954,0.25985892076022127,2.2755334805156892e-07,0.625852221796797,0.24015656469861518
1.6500000000000001,0.8655461523178284,-22.074175578095947,1.3874999199108951e-14,1.4680850899768916e-14,22.380829707338794,0.2998599410024422,-0.04014076316477247,0.25971917783766973,2.3128977388824451e-07,0.6262007966830712,0.23934512434498312
1.6600000000000001,0.865083188670648,-22.066852133775722,1.3925819206124636e-14,1.4677096581935586e-14,22.373307931030926,0.2996879551088585,-0.040109044282558515,0.25957891082629997,2.3504645068280328e-07,0.6265479693464151,0.2385349842777822
1.67,0.8646201062474084,-22.059519145910276,1.411667123466076e-14,1.480327354689505e-14,22.365776834383457,0.29951545695638043,-0.04007734033636097,0.2594381166200195,2.3882279883442036e-07,0.6268937195238657,0.23772614790074384
1.68,0.8641568884925389,-22.05217610466531,1.4184030671112579e-14,1.491415951949796e-14,22.358235902231264,0.2993424429193858,-0.04004565069928155,0.2592967922201042,2.4261823114041225e-07,0.6272380272213656,0.23691861865294217
1.69,0.8636935191494132,-22.044822509136957,1.4406062940626306e-14,1.5026236190269356e-14,22.350684628426656,0.29916890948957625,-0.040013974755839496,0.25915493473373674,2.4643215299470826e-07,0.6275808727086043,0.23611240000865605
1.7,0.8632299822551841,-22.037457867197592,1.4503520716077217e-14,1.515550851308318e-14,22.34312251568361,0.2989948532743356,-0.03998231190177406,0.2590125413725616,2.5026396258929013e-07,0.6279222365140018,0.23530749547721969
1.71,0.8627662621357428,-22.03008169534547,1.4492075401852695e-14,1.5327465813047802e-14,22.3355490754259,0.2988202709951101,-0.03995066154385194,0.25886960945125814,2.54113051118313e-07,0.628262099419829,0.2345039086028628
1.72,0.8623023434008034,-22.022693518557983,1.4655266521714972e-14,1.5458118015175588e-14,22.327963827638982,0.29864515948580944,-0.03991902309967916,0.2587261363861303,2.579788029849561e-07,0.6286004424574606,0.23370164296453963
1.73,0.8618382109391014,-22.01529287014862,1.4615498933451007e-14,1.551112656549891e-14,22.3203663007254,0.2984695156912285,-0.03988739599751748,0.25858211969371103,2.6186059601086916e-07,0.6289372469027578,0.23290070217574782
1.74,0.8613738499137112,-22.007879291627248,1.4742545373003247e-14,1.5557616689505943e-14,22.312756031363783,0.29829333666549007,-0.039855779676105166,0.2584375569893849,2.657578016481121e-07,0.6292724942715741,0.23210108988433567
1.75,0.8609092457574701,-22.00045233256385,1.4898597723607043e-14,1.569323090018913e-14,22.305132564371146,0.29811661957050695,-0.039824173584481946,0.258292445986025,2.696697851935259e-07,0.6296061663153849,0.23130280977229992
1.76,0.8604443841685129,-21.993011550455428,1.495532991357807e-14,1.5757291345355718e-14,22.297495452568523,0.2979393616744638,-0.03979257718181793,0.25814678449264583,2.735959060054523e-07,0.629938245017035,0.23050586555557187
1.77,0.8599792511059088,-21.98555651059607,1.494632230827782e-14,1.5745018465396405e-14,22.289844256649694,0.2977615603503185,-0.03976098993724658,0.2580005704130719,2.7753551772267165e-07,0.630268712586597,0.22971026098379402
1.78,0.8595138327853987,-21.978086785950076,1.520522393581382e-14,1.598001252199903e-14,22.282178545053085,0.29758321307432256,-0.03972941132970147,0.2578538017446211,2.814879684854613e-07,0.630597551457345,0.22891599984008545
1.79,0.859048115675233,-21.970601957027984,1.5297673880373384e-14,1.596115483897667e-14,22.274497893836514,0.29740431742456014,-0.0396978408477567,0.25770647657680346,2.854526011588397e-07,0.630924744281834,0.22812308594079786
1.8,0.8585820864920984,-21.96310161176551,1.5453343763820138e-14,1.605540943877409e-14,22.26680188655497,0.29722487107950485,-0.039666277989470984,0.25755859309003387,2.894287535576399e-07,0.6312502739280846,0.22733152313526026
1.81,0.8581157321971432,-21.955585345405165,1.547723258194215e-14,1.619697268933164e-14,22.259090114141003,0.2970448718165951,-0.03963472226223509,0.25741014955436003,2.934157586735476e-07,0.6315741234758704,0.22654131530551422
